,_id,index,name,Identity,User_ID,User Name,handle,Vocation,No# of Rows,Followers,Avg Retweets per Tweet,Avg Likes per Tweet,Ranking_by_followers,URL,Overall sentiment of the user,Assigned color for the sentiement (in hexidecimal),WikiSummary
20,60eed4f6060d3647c22b480f,20,"""Justin Bieber""",Justin Bieber,27260086,justinbieber,@justinbieber,Music,955,"108,340,000.00","40,510.89","78,759.13",2.0,https://i.ibb.co/W2sFJnY/27-January-2020-Westwood-California-Justin-Bieber-Hailey-Bieber-The-Premiere-Of-You-Tube-Originals-J.jpg,,,"Justin Drew Bieber (; born March 1, 1994) is a Canadian singer. He was discovered by American record executive Scooter Braun and signed with RBMG Records in 2008, gaining recognition with the release of his debut seven-track EP My World (2009) and soon establishing himself as a teen idol. Often referred to as the ""Prince of Pop"", his versatile cross-genre approach towards music and showmanship have received critical acclaim and recognition.He achieved commercial success with his debut studio album, My World 2.0 (2010), which debuted atop the Billboard 200, making him the youngest solo male act to top the chart in 47 years."
21,60eed4f6060d3647c22b4810,21,"""Justin Timberlake""",Justin Timberlake,26565946,jtimberlake,@jtimberlake,Entertainment,"1,050.00","64,990,000.00","1,725.11","5,544.13",11.0,https://i.ibb.co/2WBq20j/Justin-Timberlake.jpg,,,"Justin Randall Timberlake (born January 31, 1981) is an American singer, songwriter, record producer, and actor. A best-selling music artist, Timberlake has sold over 32 million albums and 56 million singles. He is the recipient of numerous awards and accolades, including ten Grammy Awards, four Emmy Awards, three Brit Awards, nine Billboard Music Awards, the Contemporary Icon Award by the Songwriters Hall of Fame, and the Michael Jackson Video Vanguard Award."
22,60eed4f6060d3647c22b4811,22,"""Katy Perry""",Katy Perry,21447363,katyperry,@katyperry,Music,894, - , - , - ,,https://i.ibb.co/ydY1wMt/Katy-Perry.jpg,,,"Katheryn Elizabeth Hudson (born October 25, 1984), known professionally as Katy Perry, is an American singer, songwriter, and television judge. After singing in church during her childhood, she pursued a career in gospel music as a teenager. Perry signed with Red Hill Records and released her debut studio album Katy Hudson under her birth name in 2001, which was commercially unsuccessful."
23,60eed4f6060d3647c22b4812,23,"""Kevin Hart""",Kevin Hart,23151437,kevinhart4real,@kevinhart4real,Entertainment,906,"36,100,000.00",237.77,"1,995.51",36.0,https://i.ibb.co/6X9vQsR/Kevin-Hart.jpg,,,"Kevin Darnell Hart (born July 6, 1979) is an American stand-up comedian, actor, and producer. Born and raised in Philadelphia, Pennsylvania, Hart began his career by winning several amateur comedy competitions at clubs throughout New England, culminating in his first real break in 2001 when he was cast by Judd Apatow for a recurring role on the TV series Undeclared. The series lasted only one season, but he soon landed other roles in films such as Paper Soldiers (2002), Scary Movie 3 (2003), Soul Plane (2004), In the Mix (2005), and Little Fockers (2010)."
24,60eed4f6060d3647c22b4813,24,"""Kim Kardashian West""",Kim Kardashian West,25365536,kimkardashian,@kimkardashian,Entertainment,610,"63,170,000.00","2,478.88","31,201.43",12.0,https://i.ibb.co/hmkt5gh/Kim-Kardashian.jpg,,,"Kimberly Noel Kardashian West (born October 21, 1980) is an American media personality, socialite, model, businesswoman, producer, and actress. Kardashian first gained media attention as a friend and stylist of Paris Hilton but received wider notice after a 2002 sex tape, Kim Kardashian, Superstar, with her then-boyfriend Ray J was released in 2007. Later that year, she and her family began to appear in the E!"
25,60eed4f6060d3647c22b4814,25,"""Lady Gaga""",Lady Gaga,14230524,ladygaga,@ladygaga,Music,596,"80,710,000.00","6,641.75","23,826.29",6.0,https://i.ibb.co/7nT076P/LadyGaga.png,,,"Stefani Joanne Angelina Germanotta ( STEF-ən-ee JUR-mə-NOT-ə; born March 28, 1986), known professionally as Lady Gaga, is an American singer, songwriter, and actress. She is known for her image reinventions and musical versatility. Gaga began performing as a teenager, singing at open mic nights and acting in school plays."
26,60eed4f6060d3647c22b4815,26,"""LeBron James""",LeBron James,23083404,kingjames,@kingjames,Sports,836,"44,450,000.00","5,042.04","21,254.01",25.0,https://i.ibb.co/VQ2Kjjs/Lebron-James.jpg,,,"LeBron Raymone James Sr. (; born December 30, 1984) is an American professional basketball player for the Los Angeles Lakers of the National Basketball Association (NBA). Widely considered one of the best players in history, James is frequently compared to Michael Jordan in debates over the greatest basketball player ever.The only player to have won NBA championships with three franchises (the Cleveland Cavaliers, the Miami Heat, and the Lakers) as NBA Finals MVP, James has competed in ten NBA Finals, eight of them consecutively with the Heat and the Cavaliers from 2011–2018."
27,60eed4f6060d3647c22b4816,27,"""Liam""",Liam Payne,158314798,liampayne,@liampayne,Music,712, - , - , - ,,https://i.ibb.co/rfVtgsv/Liam-Payne.jpg,,,"William John Neeson  (born 7 June 1952) is a Northern Irish actor who holds Irish, British, and American citizenship. He has been nominated for several awards, including an Academy Award for Best Actor, a BAFTA Award for Best Actor in a Leading Role, and three Golden Globe Awards for Best Actor in a Motion Picture Drama.
In 1976, Neeson joined the Lyric Players' Theatre in Belfast for two years."
28,60eed4f6060d3647c22b4817,28,"""Lil Wayne WEEZY F""",Lil Wayne WEEZY F,116362700,liltunechi,@liltunechi,Music,181,"34,610,000.00","3,405.14","5,155.89",41.0,https://i.ibb.co/CwtrY9f/LilWayne.png,,,"Dedication 4 is a mixtape by Lil Wayne, hosted by DJ Drama. The mixtape was originally supposed to be released on August 15, 2012, but got delayed several times and was released on September 3, 2012. It is the fourth installment of Lil Wayne's Dedication series, following its predecessors The Dedication, Dedication 2 and Dedication 3."
29,60eed4f6060d3647c22b4818,29,"""Louis Tomlinson""",Louis Tomlinson,84279963,louis_tomlinson,@louis_tomlinson,Music,177, - , - , - ,,https://i.ibb.co/BrRDxMW/Louis-Tomlinson.jpg,,,Louis William Tomlinson (; born Louis Troy Austin; 24 December 1991) is an English singer and songwriter. He rose to fame as a member of the boy band One Direction. He began his career appearing in television dramas before he auditioned on the British music competition series The X Factor In 2010.
30,60eed4f6060d3647c22b4819,30,"""Miley Ray Cyrus""",Miley Ray Cyrus,268414482,mileycyrus,@mileycyrus,Music,"1,009.00","44,790,000.00","6,238.22","43,282.72",23.0,https://i.ibb.co/nRzBftX/Miley-Cyrus.jpg,,,"Miley Ray Cyrus ( MY-lee; born Destiny Hope Cyrus, November 23, 1992) is an American singer, songwriter, and actress. Noted for her distinctive raspy voice, her music incorporates elements of varied styles and genres, including pop, country pop, hip hop, experimental, and rock. Cyrus has attained the most US Billboard 200 top-five albums in the 21st century by a female artist, with a total of thirteen entries."
31,60eed4f6060d3647c22b481a,31,"""Narendra Modi""",Narendra Modi,18839785,narendramodi,@narendramodi,Politics,205,"52,720,000.00","4,823.42","26,886.07",17.0,https://i.ibb.co/KmH5RYf/Narendra-Modi.jpg,,,Narendra Damodardas Modi (Gujarati: [ˈnəɾendɾə dɑmodəɾˈdɑs ˈmodiː] (listen); born 17 September 1950) is an Indian politician serving as the 14th and current prime minister of India since 2014. He was the chief minister of Gujarat from 2001 to 2014 and is the Member of Parliament for Varanasi. Modi is a member of the Bharatiya Janata Party (BJP) and its National Democratic Alliance (NDA).
32,60eed4f6060d3647c22b481b,32,"""NASA""",NASA,11348282,nasa,@nasa,Technology,"1,548.00","34,820,000.00",904.14,"4,253.51",39.0,https://i.ibb.co/cy0cgjT/NASA.jpg,,,"The National Aeronautics and Space Administration (NASA ) is an independent agency of the U.S. federal government responsible for the civilian space program, as well as aeronautics and space research.NASA was established in 1958, succeeding the National Advisory Committee for Aeronautics (NACA). The new agency was to have a distinctly civilian orientation, encouraging peaceful applications in space science. Since its establishment, most US space exploration efforts have been led by NASA, including the Apollo Moon landing missions, the Skylab space station, and later the Space Shuttle."
33,60eed4f6060d3647c22b481c,33,"""Neymar Jr""",Neymar Jr,158487331,neymarjr,@neymarjr,Sports,"1,754.00","45,300,000.00","3,827.56","21,574.93",20.0,https://i.ibb.co/1QdcVw8/New-York-Times.png,,,"Neymar da Silva Santos Júnior (born 5 February 1992), known as Neymar, is a Brazilian professional footballer who plays as a forward for Ligue 1 club Paris Saint-Germain and the Brazil national team. He is widely regarded as one of the best players in the world.Neymar came into prominence at Santos, where he made his professional debut aged 17. He helped the club win two successive Campeonato Paulista championships, a Copa do Brasil, and the 2011 Copa Libertadores; the latter being Santos' first since 1963."
34,60eed4f6060d3647c22b481d,34,"""Niall Horan""",Niall Horan,105119490,niallofficial,@niallofficial,Music,619,"39,480,000.00","14,521.76","59,682.04",32.0,https://i.ibb.co/QJBsjms/NeymarJr.png,,,"Niall James Horan  (; born 13 September 1993) is an Irish singer and songwriter. He rose to prominence as a member of the boy band One Direction, formed in 2010 on the British singing competition The X Factor. The group released five albums and went on to become one of the best-selling boy bands of all time."
35,60eed4f6060d3647c22b481e,35,"""Oprah Winfrey""",Oprah Winfrey,19397785,oprah,@oprah,Entertainment,"1,413.00","42,800,000.00",667.57,"3,274.89",28.0,https://i.ibb.co/BjwvqK5/Nial-Horan.jpg,,,"Oprah Gail Winfrey (born  Orpah Gail Winfrey; January 29, 1954) is an American talk show host, television producer, actress, author, and philanthropist. She is best known for her talk show, The Oprah Winfrey Show, broadcast from Chicago, which was the highest-rated television program of its kind in history and ran in national syndication for 25 years, from 1986 to 2011. Dubbed the ""Queen of All Media,” she was the richest African American of the 20th century and North America's first black multi-billionaire, and she has been ranked the greatest Black philanthropist in American history."
36,60eed4f6060d3647c22b481f,36,"""P!nk""",P!nk,28706024,pink,@pink,Music,383,"32,200,000.00",881.69,"6,346.64",46.0,https://i.ibb.co/n71j0mx/Oprah.jpg,,,"Alecia Beth Moore (born September 8, 1979), known professionally as Pink (stylized as P!nk), is an American singer and songwriter. She was originally a member of the girl group Choice. In 1995, LaFace Records saw potential in Pink and offered her a solo recording contract."
37,60eed4f6060d3647c22b4820,37,"""Real Madrid C.F.⚽""",Real Madrid C.F.⚽,14872237,realmadrid,@realmadrid,Sports,"2,287.00","33,580,000.00",915.21,"6,843.70",44.0,https://i.ibb.co/Tcr5gJn/Mandatory-Credit-Photo-by-Joel-C-Ryan-Invision-AP-REX-Shutterstock-10112788ao-Singer-Pink-poses-for.jpg,,,"Real Madrid Club de Fútbol (Spanish pronunciation: [reˈal maˈðɾið ˈkluβ ðe ˈfuðβol] (listen), meaning Royal Madrid Football Club), commonly referred to as Real Madrid, is a Spanish professional football club based in Madrid.
Founded on 6 March 1902 as Madrid Football Club, the club has traditionally worn a white home kit since inception. The honorific title real is Spanish for ""royal"" and was bestowed to the club by King Alfonso XIII in 1920 together with the royal crown in the emblem."
